OBJECTID,GRIDCODE,Shape_Length,Shape_Area,SUBBASIN,LU_NUM,LU_CODE,SOIL_NUM,SOIL_CODE,SLOPE_NUM,SLOPE_CODE,MEAN_SLOPE,AREA,UNIQUECOMB,HRUGIS
216,216,31331.131579428446000,400316.292749001700000,3,52,RNGB,9768,WA229,1,0-23,15.212439537048340,40.031629296357771,3_RNGB_WA229_0-23,000030052
217,217,99823.621488510165000,1147616.210032048900000,3,52,RNGB,9768,WA229,3,45-66,55.426544189453125,114.761621064678930,3_RNGB_WA229_45-66,000030051
218,218,101.395247829612340,642.562267651781670,4,90,WETF,9864,WA325,3,45-66,59.538284301757812,0.064256226799932,4_WETF_WA325_45-66,000040088
219,219,101.395247830078010,642.562267657683610,4,41,FRSD,9864,WA325,2,23-45,32.388378143310547,0.064256226799932,4_FRSD_WA325_23-45,000040028
220,220,22306.954522575252000,235820.352229508220000,3,52,RNGB,9768,WA229,999,96-9999,106.960861206054690,23.582035235575127,3_RNGB_WA229_96-9999,000030050
221,221,253.488119575195010,1927.686802973050800,4,90,WETF,9864,WA325,4,66-96,74.940780639648437,0.192768680399797,4_WETF_WA325_66-96,000040087
222,222,557.673863064963370,3855.373605940199900,4,31,SWRN,9768,WA229,999,96-9999,100.417701721191410,0.385537360799593,4_SWRN_WA229_96-9999,000040015
223,223,172321.223686873910000,2720608.641251761000000,3,42,FRSE,9768,WA229,3,45-66,54.985198974609375,272.060864270912990,3_FRSE_WA229_45-66,000030037
224,224,145552.878259791990000,2450732.488836879800000,3,42,FRSE,9768,WA229,2,23-45,34.750274658203125,245.073249014941470,3_FRSE_WA229_23-45,000030036
225,225,51458.088273661211000,961915.714679645260000,3,42,FRSE,9768,WA229,1,0-23,16.091585159301758,96.191571519498524,3_FRSE_WA229_0-23,000030038
226,226,3802.321793619543300,41766.547397572380000,4,52,RNGB,9864,WA325,3,45-66,52.888149261474609,4.176654741995594,4_RNGB_WA325_45-66,000040059
227,227,2585.578819660469900,44336.796468144094000,3,90,WETF,9768,WA229,1,0-23,8.025015830993652,4.433679649195323,3_WETF_WA229_0-23,000030074
228,228,4765.576648002956100,51404.981412360903000,4,21,URLD,9864,WA325,3,45-66,54.663520812988281,5.140498143994578,4_URLD_WA325_45-66,000040004
229,229,1470.231093533337100,14778.932156073606000,4,71,RNGE,9864,WA325,3,45-66,55.841953277587891,1.477893216398441,4_RNGE_WA325_45-66,000040073
230,230,1216.742973960004700,12208.683085478284000,4,71,RNGE,9864,WA325,2,23-45,35.713657379150391,1.220868309198712,4_RNGE_WA325_23-45,000040072
231,231,3498.136050128843600,41123.985129914690000,3,81,HAY,9768,WA229,4,66-96,81.558731079101563,4.112398515195662,3_HAY_WA229_66-96,000030072
232,232,152.092871745117010,1285.124535315367200,2,81,HAY,9782,WA243,4,66-96,81.862808227539063,0.128512453599864,2_HAY_WA243_66-96,000020097
233,233,100229.202479835600000,1504238.268581012700000,3,42,FRSE,9768,WA229,4,66-96,76.353752136230469,150.423826938641330,3_FRSE_WA229_66-96,000030039
234,234,1318.138221788220100,14136.369888415922000,3,81,HAY,9768,WA229,999,96-9999,104.767776489257810,1.413636989598509,3_HAY_WA229_96-9999,000030071
235,235,1166.045350044500100,9638.434014847547600,3,81,HAY,9768,WA229,3,45-66,59.422721862792969,0.963843401998983,3_HAY_WA229_45-66,000030070
236,236,354.883367404341700,2570.249070618930500,3,81,HAY,9768,WA229,2,23-45,29.357580184936523,0.257024907199729,3_HAY_WA229_23-45,000030069
237,237,202.790495660156010,1927.686802973050800,4,81,HAY,9768,WA229,1,0-23,9.857429504394531,0.192768680399797,4_HAY_WA229_0-23,000040076
238,238,152.092871744651350,1285.124535309465300,3,81,HAY,9768,WA229,1,0-23,11.899524688720703,0.128512453599864,3_HAY_WA229_0-23,000030068
239,239,354.883367402944710,2570.249070601225000,2,81,HAY,9782,WA243,3,45-66,54.191505432128906,0.257024907199729,2_HAY_WA243_45-66,000020096
240,240,304.185743490234020,4497.935873603785700,3,11,WATR,9768,WA229,1,0-23,2.794288158416748,0.449793587599526,3_WATR_WA229_0-23,000030001
241,241,101.395247829612340,642.562267651781670,3,11,WATR,9768,WA229,2,23-45,26.167264938354492,0.064256226799932,3_WATR_WA229_23-45,000030002
242,242,202.790495659690350,1285.124535309465300,4,42,FRSE,9864,WA325,999,96-9999,98.769897460937500,0.128512453599864,4_FRSE_WA325_96-9999,000040040
243,243,18606.027976782527000,257667.469329586170000,3,42,FRSE,9768,WA229,999,96-9999,113.339157104492190,25.766746946772820,3_FRSE_WA229_96-9999,000030040
